Date,"CBOE Market Volatility Index, VXO (Avg) ","Real Gross Domestic Product (SAAR, Bil.Chn.2009$)  ","Real Personal Consumption Expenditures (SAAR, Bil.Chn.2009.$)  ","Real Personal Consumption Expenditures: Durable Goods (SAAR, Bil.Chn.2009.$)  ","Real Personal Consumption Expenditures: Nondurable Goods (SAAR, Bil.Chn.2009.$)  ","Real Personal Consumption Expenditures: Services (SAAR, Bil.Chn.2009.$)  ","Real Private Fixed Investment (SAAR, Bil.Chn.2009$)  ","Real Private Nonresidential Fixed Investment (SAAR, Bil.Chn.2009$)  ","Gross Domestic Product: Chain Price Index (SA, 2009=100)  ","Federal Funds [Effective] Rate (Avg, % p.a.) ","5-Year Treasury Note Yield at Constant Maturity (Avg, % p.a.) ","Aggregate Hours: Nonfarm Payrolls, Total (SAAR, Bil.Hrs)  ","Money Stock: M2 (SA, Bil.$) ","Civilian Noninstitutional Population: 16 Years and Over (NSA, Thous)  ","CBOE Market Volatility Index, VIX (Avg)","Stock Price Index: Standard & Poor's 100 (Avg, Close, Jan-2-76=100)","Standard & Poor's 500 Stock Price Index (Avg, 1941-43=10)",WuXiaShadowRate,Bloom (2009) Spliced Actual/Implied Volatility,GDP Deflator Inflation Rate (Annualized),Ex-Post Real Rate (Annualized),Ex-Post S&P 500 Equity Return (Annualized),Ex-Post Equity Premium (Annualized)
1988.5,22.47642857,8498.3,5417.7,381.8,1361.1,3783,1219.3,769.4,62.426,7.974615385,8.747142857,184.22,2959.661538,184840.3333,NaN,NaN,267.1207143,7.983333333,22.47642857,4.80236537,3.172250014,7.060722349,3.888472335
1988.75,19.93153846,8610.9,5479.7,391.7,1375.3,3815.3,1233.8,780.1,62.961,8.441538462,8.806153846,186.087,2981.438462,185253.3333,NaN,NaN,274.9038462,8.47,19.93153846,3.413452729,5.028085732,11.48828661,6.460200875
1989,17.85230769,8697.7,5505,390,1381.5,3841,1244.7,792.5,63.602,9.431538462,9.321538462,187.975,2995.430769,185772.6667,NaN,137.8615385,290.4630769,9.443333333,17.85230769,4.051771724,5.379766738,22.02203209,16.64226535
1989.25,17.03076923,8766.1,5530.9,395.2,1383.6,3856.8,1246.4,803.3,64.271,9.730769231,8.816153846,189.433,3012.592308,186178,NaN,146.4484615,313.7746154,9.726666667,17.03076923,4.185440891,5.545328339,30.87939055,25.33406221
1989.5,18.09153846,8831.5,5585.9,404.1,1397.5,3883.8,1268.3,823.9,64.744,9.092307692,8.031538462,189.513,3068.592308,186602.3333,NaN,159.0776923,341.9761538,9.083333333,18.09153846,2.933005429,6.159302263,34.4264265,28.26712424
1989.75,20.36153846,8850.2,5610.5,391.9,1413.3,3920.8,1252,815.7,65.174,8.646153846,7.844615385,190.937,3130.9,187017.6667,NaN,161.2684615,345.3815385,8.613333333,20.36153846,2.647833681,5.998320165,3.963482205,-2.03483796
1990,21.81,8947.1,5658.7,408.4,1411.4,3942.2,1266.6,826,65.901,8.249230769,8.376153846,190.833,3178.507692,188519.6667,22.13769231,158.1761538,336.7253846,8.25,21.81,4.437199802,3.812030967,-10.15279954,-13.9648305
1990.25,18.69769231,8981.7,5676.4,394.9,1413,3990.4,1241.6,815.3,66.58,8.238461538,8.641538462,190.052,3205.338462,188916.3333,18.73153846,165.9853846,349.8630769,8.243333333,18.69769231,4.100246499,4.13821504,15.30966138,11.17144634
1990.5,25.09307692,8983.9,5699.3,390.9,1415.3,4022.7,1231.2,820.9,67.18,8.170769231,8.423076923,190.531,3239.207692,189352.6667,25.12461538,159.8246154,336.0284615,8.16,25.09307692,3.588540815,4.582228416,-16.13840233,-20.72063074
1990.75,26.04461538,8907.4,5656.2,380.1,1401.1,4013.2,1199.7,808.2,67.702,7.778461538,8.042307692,189.19,3265.428571,189866.3333,26.00307692,150.1084615,316.5492308,7.743333333,26.04461538,3.096054958,4.68240658,-23.88683456,-28.56924114
1991,22.85153846,8865.6,5636.7,369.7,1401.7,4012.2,1166.6,792,68.373,6.515384615,7.651538462,187.86,3303.191667,190271.6667,22.51461538,166.5353846,352.0769231,6.426666667,22.85153846,3.944915311,2.570469304,42.5483625,39.9778932
1991.25,17.88461538,8934.4,5684,371.5,1410,4052.7,1170.1,788,68.832,5.826153846,7.772307692,186.63,3340.738462,190655.6667,17.12769231,179.7461538,378.77,5.863333333,17.88461538,2.676297291,3.149856555,29.23179101,26.08193445
1991.5,16.92076923,8977.3,5711.6,377.2,1412.4,4069.5,1171.6,781.3,69.328,5.701538462,7.513076923,186.913,3355.307143,191121.3333,16.68,182.8615385,385.4430769,5.643333333,16.92076923,2.872044765,2.829493697,6.985744404,4.156250707
1991.75,17.42153846,9016.4,5710.1,371.1,1400.2,4094.9,1176.7,780.8,69.694,4.887692308,6.583076923,187.15,3365.438462,191650.6667,17.42230769,180.8430769,386.2953846,4.816666667,17.42153846,2.10614634,2.781545968,0.883520085,-1.898025883
1992,17.06,9123,5817.3,385.6,1421.1,4162.5,1189.7,777.9,70.014,4.041538462,6.552307692,187.383,3393.569231,192074.6667,17.64923077,192.2915385,412.4192308,4.023333333,17.06,1.832396482,2.20914198,26.17522419,23.96608221
1992.25,15.29769231,9223.5,5857.2,388.3,1427,4195.3,1229,803.2,70.457,3.779230769,6.670769231,188.287,3396.269231,192506.6667,15.68,192.94,410.0023077,3.77,15.29769231,2.522949042,1.256281727,-2.351037683,-3.60731941
1992.5,13.89384615,9313.2,5920.6,396.6,1435.5,4240.4,1243.2,815.6,70.785,3.295714286,5.646153846,187.799,3399.176923,193024.3333,13.82230769,194.0653846,416.76,3.256666667,13.89384615,1.857807675,1.43790661,6.539091337,5.101184727
1992.75,15.03923077,9406.5,5991.1,404.5,1449.9,4287.6,1279.7,837.1,71.275,3.038461538,5.87,189.412,3423.384615,193615.6667,14.82923077,193.0476923,422.8238462,3.036666667,15.03923077,2.759408381,0.279053158,5.778054566,5.499001408
1993,13.31076923,9424.1,6013.8,408.4,1451.4,4303.6,1289.1,845.3,71.704,3.038461538,5.525384615,190.79,3412.376923,194106,13.26307692,202.1923077,441.8307692,3.04,13.31076923,2.400359703,0.638101836,17.5885123,16.95041047
1993.25,13.37846154,9480.1,6067.8,421.7,1462.9,4324.6,1312.2,861.8,72.136,2.997692308,5.193076923,192.832,3427.823077,194555.3333,13.04923077,206.4453846,445.5823077,3,13.37846154,2.402676857,0.595015451,3.382019858,2.787004407
1993.5,12.19,9526.3,6134.8,426.4,1477.4,4374.1,1332.9,868.8,72.504,3.047692308,4.967692308,193.39,3444.107692,195068,12.06153846,209.36,452.9592308,3.06,12.19,2.035402622,1.012289686,6.568055907,5.555766221
1993.75,11.84857143,9653.5,6189.1,436.6,1487.7,4403,1386.3,900,72.913,3.002307692,4.964285714,194.815,3464.461538,195621,12.42285714,213.5942857,464.0507143,2.99,11.84857143,2.250086735,0.752220957,9.676688461,8.924467504
1994,12.35916667,9748.2,6260.1,447,1507.6,4439.6,1403.4,910.2,73.291,3.19,5.445833333,196.212,3474.084615,196085.3333,13.17666667,218.1025,470.4133333,3.213333333,12.35916667,2.068347472,1.121652528,5.447158628,4.3255061
1994.25,13.98153846,9881.4,6308.6,451.8,1519.5,4471.1,1431.5,924.2,73.652,3.917692308,6.62,198.717,3483.792308,196522,14.68692308,208.9207692,451.5546154,3.94,13.98153846,1.965391894,1.952300414,-16.3661644,-18.31846482
1994.5,12.19357143,9939.7,6357.5,456.6,1532.6,4501.7,1443.1,939.7,74.021,4.489230769,6.952142857,200.574,3485.830769,197050,12.67571429,213.1007143,460.2228571,4.486666667,12.19357143,1.99901549,2.49021528,7.605805746,5.115590467
1994.75,15.03461538,10052.5,6425.9,472.7,1548.9,4528.3,1477.8,976.3,74.44,5.169230769,7.635384615,202.128,3484.815385,197600.6667,15.26230769,213.8692308,459.9046154,5.166666667,15.03461538,2.257838018,2.911392751,-0.276693637,-3.188086388
1995,11.66615385,10086.9,6442.9,462.9,1554.4,4560.5,1509.4,1012.6,74.89,5.771538462,7.386153846,203.965,3488.684615,197882,12.00769231,223.9061538,480.2353846,5.81,11.66615385,2.410775395,3.360763067,17.30290328,13.94214021
1995.25,12.72769231,10122.1,6500.7,467.6,1562.1,4607.3,1508.5,1022.4,75.226,6.024615385,6.38,204.45,3518.638462,198295.6667,12.19846154,248.6530769,524.2746154,6.02,12.72769231,1.790618248,4.233997137,35.09570155,30.86170442
1995.5,13.20615385,10208.8,6560.3,480.8,1567.6,4641.8,1529.8,1029.2,75.548,5.790769231,6.087692308,205.976,3580.653846,198807,12.44692308,267.9107692,564.6769231,5.796666667,13.20615385,1.708519981,4.08224925,29.69525113,25.61300188
1995.75,13.18538462,10281.2,6606.4,489.1,1575.7,4668,1560,1049.6,75.908,5.767692308,5.691538462,205.954,3616.115385,199351.6667,12.87307692,285.2915385,597.4676923,5.72,13.18538462,1.901545943,3.866146364,22.57858434,18.71243798
1996,16.40538462,10348.7,6667.7,494.4,1585.9,4714.7,1599.4,1075.7,76.296,5.356153846,5.563846154,204.713,3658.769231,199776,15.35538462,305.6007692,636.4230769,5.363333333,16.40538462,2.039372634,3.316781212,25.26533863,21.94855742
1996.25,17.38153846,10529.4,6740.1,510.1,1606.3,4742.6,1649.4,1104.8,76.584,5.252307692,6.487692308,207.147,3703.907692,200279.3333,16.37538462,318.0738462,658.97,5.243333333,17.38153846,1.507066147,3.745241545,13.92578099,10.18053944
1996.5,17.71,10626.8,6780.7,513.8,1617.7,4768.2,1686.9,1139.5,76.932,5.290769231,6.543076923,209.001,3740.192857,200849.6667,16.77076923,318.5238462,659.7323077,5.306666667,17.71,1.81349486,3.477274371,0.462459357,-3.014815014
1996.75,18.18538462,10739.1,6834,523.8,1630.8,4794.1,1713.5,1168.2,77.257,5.291538462,6.113846154,210.998,3783.846154,201457.3333,17.13076923,351.1238462,725.4892308,5.28,18.18538462,1.686244706,3.605293755,38.004828,34.39953425
1997,21.56538462,10820.9,6906.1,538,1640.7,4836.7,1744.9,1194.8,77.637,5.242307692,6.344615385,212.292,3832.369231,202395.6667,19.90384615,382.3246154,783.7876923,5.276666667,21.56538462,1.962636447,3.279671245,30.91678188,27.63711064
1997.25,22.07307692,10984.2,6937.4,536.3,1641.7,4873.2,1778.5,1219.9,77.998,5.526923077,6.577692308,214.007,3875.353846,202835.3333,19.92230769,401.5115385,821.8861538,5.523333333,22.07307692,1.855627063,3.671296014,18.98548138,15.31418536
1997.5,24.65538462,11124,7056.1,560.1,1668.1,4932,1842.2,1274.1,78.225,5.546923077,6.141538462,215.928,3935.192308,203366.6667,22.42461538,451.1176923,928.1384615,5.533333333,24.65538462,1.162441688,4.384481389,48.63161576,44.24713437
1997.75,27.69538462,11210.3,7139.9,574.4,1679.8,4985.5,1856.3,1282.7,78.493,5.511428571,5.847692308,217.582,3996.592308,203935.3333,27.13538462,455.1623077,950.5515385,5.506666667,27.69538462,1.368063713,4.143364858,9.544582813,5.401217955
1998,21.91153846,11321.2,7213.6,579.1,1691.9,5044.5,1910.1,1323.4,78.606,5.516666667,5.516923077,219.02,4069.330769,204395,21.45076923,484.6361538,1016.492308,5.52,21.91153846,0.575433425,4.941233242,26.82827306,21.88703982
1998.25,22.17307692,11431,7341,608.3,1712.3,5110.5,1974,1367.2,78.786,5.482307692,5.59,219.862,4145.846154,204905,21.70307692,536.2453846,1108.253846,5.5,22.17307692,0.914913482,4.56739421,34.5711514,30.00375719
1998.5,29.50461538,11580.6,7437.5,625.6,1724.7,5172.5,2010.7,1387.8,79.071,5.548571429,5.172307692,220.532,4214.553846,205482.6667,29.10692308,533.1776923,1088.450769,5.533333333,29.50461538,1.444346768,4.104224661,-7.21211701,-11.31634167
1998.75,29.96692308,11770.7,7546.8,662.6,1748,5203.8,2065.8,1427.7,79.278,4.87,4.379230769,223.159,4321.623077,206097.6667,30.04923077,547.9246154,1113.436154,4.86,29.96692308,1.045791854,3.824208146,9.07819809,5.253989944
1999,28.14384615,11864.7,7618.7,664,1780.2,5245.4,2101.6,1459,79.575,4.726153846,4.864615385,224.136,4399.523077,206876,27.22846154,626.63,1255.865385,4.733333333,28.14384615,1.495724203,3.230429643,48.14960666,44.91917701
1999.25,25.43230769,11962.5,7731.5,695.8,1796.8,5297.5,2151.2,1497.3,79.908,4.747692308,5.416153846,225.818,4463.169231,207431.6667,24.44230769,671.0253846,1326.325385,4.746666667,25.43230769,1.670399899,3.077292408,21.83494612,18.75765372
1999.5,23.64769231,12113.1,7819.3,712.5,1805.1,5356.2,2200.4,1539.3,80.191,5.090769231,5.775384615,226.659,4528.923077,208043.6667,23.03538462,700.5061538,1347.230769,5.093333333,23.64769231,1.414126483,3.676642748,6.255581553,2.578938805
1999.75,23.775,12323.3,7934.1,721,1841.8,5427.4,2210.5,1544.9,80.585,5.324615385,6.050714286,228.072,4589.292308,208660.3333,22.82714286,727.4878571,1370.145714,5.306666667,23.775,1.96049554,3.364119844,6.746356535,3.382236691
2000,25.06230769,12359.1,8054.9,761.2,1825.7,5510.8,2272,1599.9,81.184,5.639230769,6.583846154,229.331,4661.261538,211586,23.15,769.6292308,1419.375385,5.676666667,25.06230769,2.962262177,2.676968592,14.11992395,11.44295536
2000.25,27.76615385,12592.5,8132.2,747.2,1862,5577.3,2322.9,1650.5,81.631,6.257692308,6.421538462,230.379,4740.538462,212242,24.92307692,779.0730769,1446.214615,6.273333333,27.76615385,2.196363348,4.06132896,7.493051166,3.431722206
2000.5,21.77769231,12607.7,8211.3,759.8,1874.3,5629.2,2332.4,1667.9,82.154,6.524615385,6.058461538,230.284,4794.553846,212918.6667,19.19307692,801.0923077,1476.133077,6.52,21.77769231,2.554577172,3.970038213,8.190539945,4.220501732
2000.75,29.19230769,12679.3,8284.4,765.1,1892.3,5679.9,2337.5,1672.3,82.591,6.513076923,5.552307692,230.103,4865.1,213560.3333,26.05461538,720.8292308,1365.242308,6.473333333,29.19230769,2.122072415,4.391004508,-31.23758198,-35.62858649
2001,28.96615385,12643.3,8319.4,777.7,1881,5709.6,2325.4,1658.8,83.117,5.613076923,4.795384615,229.509,4989.307692,214101,25.74538462,660.6769231,1274.717692,5.593333333,28.96615385,2.539415196,3.073661727,-27.44287655,-30.51653828
2001.25,27.17846154,12710.3,8340.8,777,1889.8,5723.7,2294.7,1621.2,83.699,4.369230769,4.835384615,228.213,5117.853846,214735.6667,23.97615385,636.7553846,1233.535385,4.326666667,27.17846154,2.7911105,1.578120269,-13.13615735,-14.71427762
2001.5,28.41769231,12670.1,8371.2,785.9,1898.6,5733.7,2276.1,1600,83.97,3.546153846,4.506153846,227.23,5229.207692,215421.6667,25.73153846,590.0207692,1150.359231,3.496666667,28.41769231,1.293024881,2.253128965,-27.9240299,-30.17715886
2001.75,29.25230769,12705.3,8499.1,851.4,1914.7,5756.8,2223.8,1553.6,84.233,2.191538462,4.085384615,225.393,5353.707143,216111.6667,27.82307692,572.9323077,1115.903077,2.133333333,29.25230769,1.250870504,0.940667957,-12.16410265,-13.10477061
2002,23.07076923,12822.3,8524.6,841,1921.7,5791.9,2210.7,1522.1,84.48,1.723076923,4.46,224.419,5447.683333,216664,21.39692308,574.9492308,1132.276154,1.733333333,23.07076923,1.171220601,0.551856323,5.826356255,5.274499933
2002.25,24.19384615,12893,8568.1,849.2,1922.7,5825.2,2205.2,1501.9,84.829,1.751538462,4.45,225.26,5487.084615,217203.6667,21.62307692,532.0376923,1070.125385,1.75,24.19384615,1.649058204,0.102480258,-22.58163148,-22.68411174
2002.5,38.89923077,12955.8,8628,874.1,1927.4,5848.2,2197.8,1493,85.204,1.738461538,3.376153846,224.889,5592.292857,217867.6667,34.93769231,449.8307692,897.6484615,1.74,38.89923077,1.764366249,-0.02590471,-70.30103161,-70.2751269
2002.75,35.40230769,12964,8674.4,862,1952.6,5887.4,2190.9,1475.1,85.649,1.478461538,3.013846154,224.751,5709.423077,218543,30.79307692,450.5653846,886.3530769,1.443333333,35.40230769,2.083667275,-0.605205737,-5.065258212,-4.460052475
2003,33.94461538,13031.2,8712.5,864.7,1966,5909.4,2206.8,1478.6,86.184,1.243846154,2.91,223.408,5802.423077,220109.3333,29.96076923,436.9369231,862.0869231,1.25,33.94461538,2.490798525,-1.246952371,-11.1037094,-9.856757025
2003.25,24.18923077,13152.1,8809.5,904.4,1980.3,5942.3,2254.4,1514.3,86.463,1.253846154,2.577692308,222.938,5919.415385,220774,21.67076923,472.7561538,935.5261538,1.246666667,24.18923077,1.292812469,-0.038966315,32.70119919,32.74016551
2003.5,20.83461538,13372.4,8939.4,944.7,2017,5986.9,2325.9,1544.7,86.932,1.021538462,3.129230769,222.727,6042,221512.6667,19.22846154,502.7615385,1000.073077,1.016666667,20.83461538,2.163850832,-1.14231237,26.68770033,27.8300127
2003.75,18.00153846,13528.7,9008.8,956.8,2030.9,6029,2370.9,1566.8,87.363,1,3.238461538,223.451,6034.846154,222275.6667,17.54153846,522.3107692,1052.845385,0.996666667,18.00153846,1.978259289,-0.978259289,20.56932596,21.54758525
2004,16.57,13606.5,9096.4,972.7,2046.3,6084,2362.5,1549.4,88.115,1.002307692,3.006153846,224.993,6079.407692,222356,16.68846154,559.1407692,1132.060769,1.003333333,16.57,3.42837098,-2.426063288,29.0173089,31.44337219
2004.25,16.28692308,13706.2,9155.5,982.2,2052.6,6126.8,2422.8,1583.8,88.856,1.012307692,3.673076923,225.254,6210.761538,222973.3333,16.26538462,548.4961538,1123.185385,1.01,16.28692308,3.349720939,-2.337413247,-3.14836779,-0.810954543
2004.5,15.48,13830.8,9243,1001.3,2068.5,6177.1,2472,1626.9,89.438,1.424615385,3.533846154,226.006,6281.053846,223680,15.52615385,538.4076923,1105.410769,1.433333333,15.48,2.611426373,-1.186810988,-6.380695672,-5.193884683
2004.75,13.99214286,13950.4,9337.8,1015.5,2087.2,6238.4,2518.2,1661.4,90.063,1.946153846,3.484285714,226.867,6365.107692,224418,13.615,554.4357143,1160.532857,1.95,13.99214286,2.785511059,-0.839357213,19.4649026,20.30425981
2005,12.63833333,14099.1,9409.2,1026.3,2114,6271.5,2558.8,1681.9,90.894,2.456153846,3.87,227.773,6401.230769,225038,12.72583333,569.7583333,1192.660833,2.47,12.63833333,3.673826784,-1.217672938,10.92301846,12.1406914
2005.25,12.93153846,14172.7,9511.5,1055.4,2123.2,6331.8,2599.2,1706.1,91.549,2.936153846,3.901538462,228.732,6446.315385,225674,13.51538462,561.08,1180.970769,2.943333333,12.93153846,2.872142265,0.064011581,-3.940007744,-4.004019325
2005.5,11.49714286,14291.8,9585.2,1067.3,2127.9,6388.4,2640.4,1737.4,92.399,3.448461538,4.017142857,230.181,6536.246154,226422.3333,12.23571429,568.095,1222.412143,3.46,11.49714286,3.696723204,-0.248261666,13.79571478,14.04397645
2005.75,12.32384615,14373.4,9621.3,1038.8,2164.2,6421.9,2645.5,1744.3,93.098,3.972307692,4.391538462,230.95,6625.430769,227196,12.73461538,566.3715385,1231.328462,3.98,12.32384615,3.014618279,0.957689414,2.907025432,1.949336019
2006,11.56769231,14546.1,9729.2,1081.3,2182.1,6464.4,2700.7,1808.7,93.816,4.434615385,4.544615385,232.611,6713.453846,227763.6667,12.03846154,582.8138462,1283.493077,4.456666667,11.56769231,3.073086153,1.361529231,16.59667633,15.2351471
2006.25,13.62230769,14589.6,9781,1080.2,2189.3,6511.3,2676.8,1831.3,94.589,4.903846154,4.991538462,233.29,6783.446154,228432.6667,14.52153846,583.98,1280.865385,4.906666667,13.62230769,3.282309227,1.621536926,-0.819758475,-2.441295402
2006.5,12.80384615,14602.6,9838.1,1095.1,2200.3,6541.2,2649.6,1853.1,95.25,5.238461538,4.846153846,234.356,6878.584615,229166.3333,13.60538462,594.3515385,1288.303077,5.246666667,12.80384615,2.785529512,2.452932027,2.31599078,-0.136941247
2006.75,10.58,14716.9,9938.4,1109.6,2237,6589.5,2622.8,1865.2,95.591,5.247692308,4.604615385,235.17,6994.184615,229896,11.02307692,645.7069231,1389.359231,5.246666667,10.58,1.429463744,3.818228564,30.20669905,26.38847049
2007,12.18230769,14726,9990.7,1122,2241.6,6623.8,2618.2,1897.2,96.659,5.251538462,4.646923077,235.096,7098.784615,230839.3333,12.47846154,656.8023077,1424.663846,5.256666667,12.18230769,4.444258982,0.807279479,10.03729306,9.230013584
2007.25,13.35461538,14838.7,10024.6,1138.3,2237.1,6644.9,2624.9,1934.4,97.216,5.252307692,4.763076923,236.418,7216.315385,231482,13.72,686.7838462,1496.730769,5.25,13.35461538,2.29839446,2.953913232,19.73894157,16.78502834
2007.5,21.52769231,14938.5,10069.2,1150.9,2240.2,6673.4,2609,1964.4,97.538,5.098461538,4.515384615,236.407,7326.338462,232210,21.53307692,692.9892308,1489.764615,5.073333333,21.52769231,1.322695476,3.775766062,-1.866044466,-5.641810528
2007.75,22.79076923,14991.8,10081.8,1155.5,2238.4,6683.6,2586.3,1997.6,97.945,4.537692308,3.804615385,236.879,7416.8,232936.6667,22.04538462,698.1753846,1495.066154,4.496666667,22.79076923,1.665620389,2.872071919,1.420929881,-1.451142038
2008,28.01846154,14889.5,10061,1122.5,2226.2,6710.5,2539.1,1998.1,98.506,3.272307692,2.77,236.782,7562.776923,232806.6667,26.08923077,628.4638462,1353.423077,3.176666667,28.01846154,2.284545357,0.987762335,-39.81338407,-40.80114641
2008.25,21.51384615,14963.4,10077.9,1119,2241.8,6715.5,2503.4,1986.6,98.941,2.09,3.144615385,236.261,7685.792308,233410,20.66846154,629.4692308,1372.624615,2.086666667,21.51384615,1.762501142,0.327498858,5.635075595,5.307576737
2008.5,26.27846154,14891.6,10005.1,1084.7,2212.2,6708.1,2424.1,1933,99.619,1.99,3.124615385,234.596,7775.907692,234110.3333,24.45846154,579.0338462,1256.410769,1.94,26.27846154,2.731678626,-0.741678626,-35.38624983,-34.64457121
2008.75,62.08692308,14577,9884.7,1006.8,2178.6,6700.3,2263.8,1820.1,99.805,0.557142857,2.228461538,230.907,8031.846154,234825,58.67615385,441.0515385,918.7423077,0.506666667,62.08692308,0.746149125,-0.189006268,-125.2034645,-125.0144582
2009,45.22769231,14375,9850.8,1008.6,2180.2,6662.5,2089.3,1688.3,100.045,0.186666667,1.745384615,226.002,8295.330769,234912.6667,44.92,385.3446154,813.1123077,0.745842281,45.22769231,0.960721002,-0.774054336,-48.85457522,-48.08052089
2009.25,33.62846154,14355.6,9806.4,1002.6,2164.4,6639.5,2011,1634,99.889,0.176153846,2.212307692,222.1,8386.423077,235459.3333,33.66307692,414.7330769,887.8961538,0.218267071,33.62846154,-0.624206115,0.800359961,35.19422097,34.39386101
2009.5,24.75615385,14402.5,9865.9,1050.6,2172.5,6642.7,2008.4,1613.1,99.882,0.157857143,2.476153846,219.61,8414.738462,236093,25.50846154,460.4738462,989.9507692,-0.268722122,24.75615385,-0.028032097,0.18588924,43.52016862,43.33427938
2009.75,22.13615385,14541.9,9864.8,1031.5,2183.5,6649.4,1994.1,1598.4,100.183,0.118461538,2.286153846,219.382,8469.961538,236739,23.26230769,503.4938462,1085.950769,-0.413001345,22.13615385,1.203609735,-1.085148197,37.02238137,38.10752957
2010,19.36384615,14604.8,9917.7,1045.2,2201.6,6670.6,1997.9,1615,100.517,0.133846154,2.436153846,219.806,8469.184615,236996.3333,20.33076923,515.03,1121.067692,-0.489579234,19.36384615,1.331341538,-1.197495384,12.73025585,13.92775124
2010.25,24.24230769,14745.9,9998.4,1076.3,2212.1,6710.3,2062.8,1659.3,100.981,0.190769231,2.288461538,222.245,8547.976923,237506,25.65230769,518.3184615,1140.092308,-0.497138695,24.24230769,1.842205164,-1.651435933,6.731081151,8.382517084
2010.5,24.01076923,14845.5,10063.1,1093.8,2226,6744,2060.8,1692.8,101.444,0.189230769,1.577692308,222.773,8628.569231,238103.6667,24.76153846,494.5761538,1090.626154,-0.694639368,24.01076923,1.829816702,-1.640585933,-17.74289856,-16.10231263
2010.75,18.695,14939,10166.1,1127.4,2254.5,6785.6,2103.1,1728.1,101.963,0.189230769,1.488571429,223.471,8747.715385,238711.3333,19.49928571,541.1964286,1201.644286,-0.945330311,18.695,2.041232116,-1.852001347,38.77554904,40.62755038
2011,17.29666667,14881.3,10217.1,1141.8,2265.1,6812,2098.4,1724.1,102.409,0.155384615,2.110833333,223.946,8855.9,238851.6667,18.655,585.0641667,1301.174167,-1.031332225,17.29666667,1.745838796,-1.590454181,31.83048199,33.42093617
2011.25,16.80384615,14989.6,10237.7,1134.2,2265.6,6839.2,2140.2,1761,103.17,0.095384615,1.891538462,225.537,9014.576923,239316,17.44615385,587.9523077,1319.591538,-1.109513544,16.80384615,2.961405498,-2.866020882,5.62207448,8.488095363
2011.5,29.605,15021.1,10282.2,1148.6,2259.7,6876.6,2227.5,1840.8,103.77,0.084615385,1.175714286,226.799,9422.492308,239871,29.75428571,552.8071429,1230.594286,-1.323906432,29.605,2.319519402,-2.234904017,-27.93001453,-25.69511052
2011.75,29.44846154,15190.3,10316.8,1181.5,2262.4,6877.7,2280.6,1883.1,103.913,0.075384615,0.953846154,227.881,9587.669231,240431.3333,29.88307692,553.4615385,1225.389231,-1.462380493,29.44846154,0.550839588,-0.475454972,-1.695471554,-1.220016582
2012,16.88153846,15275,10387.6,1212,2273.4,6908.8,2330.7,1910.1,104.461,0.101538462,0.897692308,228.747,9750.484615,242436,18.28384615,610.7961538,1347.277692,-1.419170912,16.88153846,2.103914167,-2.002375706,37.93099975,39.93337546
2012.25,19.52538462,15336.7,10420.2,1218.8,2278,6930.5,2355.6,1930.6,104.937,0.151538462,0.787692308,228.878,9885.407692,242968.3333,20.03538462,615.3346154,1349.934615,-1.203427165,19.52538462,1.818549632,-1.667011171,0.788050367,2.455061538
2012.5,15.44923077,15431.3,10470.4,1242.4,2284.1,6952.8,2373.7,1934.5,105.475,0.145384615,0.669230769,230.828,10087.76923,243564,16.20923077,643.9138462,1400.683077,-1.265962495,15.44923077,2.04551517,-1.900130555,14.7615486,16.66167915
2012.75,16.68076923,15433.7,10520.6,1269.7,2285,6977.5,2412,1951.9,105.821,0.159230769,0.689230769,231.584,10315.45,244169,16.78538462,647.75,1417.613846,-1.397245928,16.68076923,1.310011772,-1.150781003,4.806015369,5.956796372
2013,13.10076923,15538.4,10613.7,1295.7,2311.7,7019.3,2428,1959,106.172,0.147692308,0.820769231,232.557,10465.925,244828.6667,13.61076923,681.9869231,1512.185385,-1.406918094,13.10076923,1.324573248,-1.17688094,25.83232439,27.00920533
2013.25,14.35846154,15606.6,10660.4,1310,2310.5,7054.5,2457,1966.8,106.495,0.117692308,0.911538462,233.074,10585.32308,245363.3333,14.83923077,724.5630769,1610.089231,-1.254085493,14.35846154,1.215046052,-1.097353744,25.09348847,26.19084222
2013.5,13.94,15779.9,10713.3,1325.9,2326.4,7076.6,2496.8,1993.3,106.943,0.086153846,1.509230769,234.083,10750.66429,245961,14.29769231,749.1423077,1673.610769,-1.663680376,13.94,1.67917862,-1.593024774,15.47753174,17.07055651
2013.75,13.17538462,15916.2,10811.4,1344.5,2341.8,7141.9,2535,2043.3,107.347,0.086153846,1.431538462,235.391,10944.77692,246564.3333,14.24461538,787.5123077,1766.58,-1.99476364,13.17538462,1.508238289,-1.422084443,21.62481778,23.04690222
2014,13.52461538,15831.7,10844.3,1355,2341.9,7165.4,2536.1,2051.5,107.694,0.072307692,1.607692308,235.605,11103.79231,247086,14.78230769,811.7946154,1834.55,-2.514266997,13.52461538,1.290917736,-1.218610044,15.1014983,16.32010834
2014.25,11.91615385,16010.4,10912.6,1400.4,2354.6,7181.4,2594.5,2099.6,108.261,0.09,1.656923077,238.164,11277.53846,247625,12.78923077,840.6453846,1898.493846,-2.922476861,11.91615385,2.100442418,-2.010442418,13.70465577,15.71509819
